"","P1PRIMPK","CHILDID","CREGION","GENDER","RACE","C1R4MSCL","WKBLACK","WKHISP","P1HFAMIL","C1CMOTOR","R1_KAGE","P1HIG_1","W1INCCAT","WKINCOME","A2TXSPEN","C1R4MPF","C1R4RPF","S2HVISIT","S2ORIENT","C7R4RPF","C7R4MPF","C6ATTLVL","P1NUMSIB"
"1705",6,"0115003C",1,2,2,31.96,1,2,3,-9,65.07,17,2,13000,4,3,1,4,1,NA,NA,NA,2
"1706",0,"0115004C",1,2,2,32.08,1,2,1,17,70.57,11,2,14400,4,3,2,4,1,NA,NA,NA,2
"1707",5,"0115006C",1,2,4,19.68,2,1,3,14,62.27,4,2,9600,4,1,3,4,1,8,6,5,2
"1708",1,"0115007C",1,2,4,16.12,2,1,4,10,67.63,13,4,16000,4,1,0,4,1,NA,NA,4,0
"1709",5,"0115008C",1,2,4,17.24,2,1,1,8,61.57,11,3,14000,4,1,-1,4,1,7,6,5,2
"1710",1,"0115009C",1,1,4,20.22,2,1,2,10,70.2,16,2,7000,4,1,1,4,1,7,6,4,0
"1711",0,"0115010C",1,2,4,13.55,2,1,3,10,63.3,9,NA,10000,4,0,0,4,1,NA,NA,4,1
"1712",6,"0115011C",1,1,4,20.8,2,1,3,14,67,13,5,14000,4,1,0,4,1,7,8,4,1
"1713",1,"0115012C",1,1,4,26.69,2,1,3,12,69.6,10,5,13000,4,2,0,4,1,8,7,3,1
"1714",2,"0115013C",1,2,2,22.68,1,2,3,10,65.7,16,9,12000,4,2,0,4,1,NA,NA,NA,2
"1715",5,"0115014C",1,1,4,30.72,2,1,1,13,60.2,18,5,35000,4,2,3,4,1,NA,NA,NA,2
"1716",0,"0115016C",1,2,4,26.38,2,1,1,11,69.63,13,6,26000,4,2,2,4,1,NA,NA,NA,2
"1717",5,"0115017C",1,1,4,-9,2,1,1,-9,68.8,13,5,30000,4,-9,-1,4,1,NA,NA,4,2
"1718",5,"0115018C",1,2,3,19.34,2,1,1,13,67.33,13,10,65000,4,1,0,4,1,9,6,5,4
"1719",-9,"0115019C",1,2,2,26.03,1,2,5,13,70.3,13,7,9000,4,1,1,4,1,NA,NA,5,4
"1720",0,"0115020C",1,1,3,29.85,2,1,3,13,67.17,10,2,9480,4,-9,2,4,1,8,7,4,1
"1721",0,"0115021C",1,1,4,21.77,2,1,4,8,68.23,11,NA,14000,4,1,1,4,1,NA,NA,NA,0
"1722",2,"0115022C",1,2,2,26.1,1,2,2,15,71.03,16,10,50000,4,2,2,4,1,NA,NA,NA,0
"1723",0,"0115023C",1,1,2,28.23,1,2,3,15,71.27,13,NA,2000,4,2,2,4,1,NA,NA,4,1
"1724",5,"0115024C",1,2,2,21.95,1,2,5,13,59.43,16,1,1800,4,1,3,4,1,9,8,5,0
"1725",7,"0116001C",1,1,3,31.38,2,1,3,15,71.9,20,7,40000,4,2,4,1,2,NA,NA,NA,1
"1726",0,"0116002C",1,2,1,41.3,2,2,1,16,62.17,18,13,115000,4,3,3,1,2,9,9,5,1
"1727",6,"0116004C",1,1,1,33.69,2,2,1,14,66.3,18,12,120000,4,3,1,1,2,10,9,5,1
"1728",6,"0116005C",1,1,4,37.73,2,1,4,12,67.5,17,7,30000,4,3,3,1,2,NA,NA,NA,0
"1729",3,"0116006C",1,2,1,25.66,2,2,1,14,62.67,22,13,150000,4,2,1,1,2,NA,NA,5,1
"1730",1,"0116007C",1,2,4,27.1,2,1,1,14,64,13,10,43000,4,2,1,1,2,NA,NA,3,1
"1731",3,"0116008C",1,1,1,31.64,2,2,1,9,60.17,20,12,150000,4,3,3,1,2,9,9,4,1
